Test Setup Parameters
DMM Model: SDM3055
PSU Model: DP832
PSU Channel: 1
Load: open
voltMin: 0.000
voltMax: 32.000
voltStep: 0.001
currentLimit: 0.020
overCurrentLimit: 0.020
dmmMeasureMode: average
dmmMeasureCount: 10
cmdDelay: 0.01
measDelay: 1
startTime: 2018-04-15 16:36:36.184772
endTime: 2018-04-17 03:41:47.075619
elapsedTime: 1 day, 11:05:10.890847
DP832 Initial System Temp: 28.90C
DP832 Ending System Temp: 31.54C
Run Notes:
START DATA CAPTURE
SetVoltage,PsuMeasureVoltage,DmmAverageVoltage,DmmMinimumVoltage,DmmMaximumVoltage,DmmStandardDeviation
0.093,0.0968,+9.12353263E-02,+9.12245418E-02,+9.12409239E-02,+5.09313622E-06
0.094,0.0974,+9.17725876E-02,+9.17647026E-02,+9.17764947E-02,+3.78985401E-06
0.095,0.0984,+9.28166149E-02,+9.28011770E-02,+9.28427852E-02,+1.19322219E-05
0.096,0.1000,+9.43664380E-02,+9.43562057E-02,+9.43786705E-02,+8.49497788E-06
0.097,0.1006,+9.48785254E-02,+9.48595349E-02,+9.48984936E-02,+1.37559343E-05
0.098,0.1015,+9.58898482E-02,+9.58795152E-02,+9.58953002E-02,+5.92452875E-06
0.099,0.1025,+9.69450706E-02,+9.69271473E-02,+9.69565903E-02,+1.07348476E-05
0.100,0.1036,+9.79557404E-02,+9.79504116E-02,+9.79671295E-02,+4.92145781E-06
0.101,0.1047,+9.89781016E-02,+9.89722578E-02,+9.89834528E-02,+3.65202470E-06
0.102,0.1056,+1.00031813E-01,+1.00015710E-01,+1.00049557E-01,+1.30629221E-05
0.103,0.1068,+1.01065921E-01,+1.01051028E-01,+1.01083717E-01,+1.09183073E-05
0.104,0.1078,+1.02091678E-01,+1.02084330E-01,+1.02097615E-01,+3.22782647E-06
0.105,0.1088,+1.03108643E-01,+1.03104311E-01,+1.03113565E-01,+2.92714493E-06
0.106,0.1099,+1.04129836E-01,+1.04114589E-01,+1.04140300E-01,+7.81635629E-06
0.107,0.1109,+1.05149391E-01,+1.05139831E-01,+1.05163863E-01,+7.31176792E-06
0.108,0.1119,+1.06187903E-01,+1.06178731E-01,+1.06194702E-01,+5.91406848E-06
0.109,0.1129,+1.07201570E-01,+1.07193673E-01,+1.07212145E-01,+4.33724132E-06
0.110,0.1139,+1.08237193E-01,+1.08233469E-01,+1.08239253E-01,+2.00720131E-06
0.111,0.1148,+1.09279332E-01,+1.09268786E-01,+1.09288938E-01,+7.45578662E-06
0.112,0.1159,+1.10324169E-01,+1.10312948E-01,+1.10341160E-01,+1.05417053E-05
0.113,0.1165,+1.10847019E-01,+1.10841727E-01,+1.10853482E-01,+3.50427739E-06
0.114,0.1176,+1.11891050E-01,+1.11878575E-01,+1.11899845E-01,+6.38342230E-06
0.115,0.1185,+1.12917557E-01,+1.12909937E-01,+1.12923147E-01,+4.35689682E-06
0.116,0.1196,+1.13947419E-01,+1.13937492E-01,+1.13955367E-01,+4.83217290E-06
0.117,0.1207,+1.14969675E-01,+1.14947099E-01,+1.14984229E-01,+1.16045677E-05
0.118,0.1217,+1.16001004E-01,+1.15989768E-01,+1.16011337E-01,+6.38942810E-06
0.119,0.1228,+1.17037575E-01,+1.17032959E-01,+1.17042400E-01,+2.94609232E-06
